City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Mackenzie,CA,289.82,overcast clouds,55.2999,-123.1698,Hilton Shop
2,Vaini,TO,295.36,overcast clouds,-21.2,-175.2,Keleti Beach Resort
4,Kijang,KR,299.6,overcast clouds,35.2442,129.2139,Samyang Beach Villa
5,Sochi,RU,292.2,clear sky,43.6,39.7303,Bounty Hotel
7,Camar,RO,293.88,broken clouds,47.3,22.6167,Cămin cultural Camăr
9,Faanui,PF,299.55,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
12,Mahebourg,MU,294.66,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
13,Camacha,PT,292.83,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
14,San Ignacio,BZ,295.84,overcast clouds,17.1561,-89.0714,Rainforest Haven Inn
15,Albany,US,294.77,broken clouds,42.6001,-73.9662,
16,Brigantine,US,297.94,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
17,Rocha,UY,288.74,broken clouds,-34.4833,-54.3333,Hotel Arrarte
18,Kendari,ID,299.41,broken clouds,-3.945,122.4989,Hotel Wixel
19,Rikitea,PF,296.08,clear sky,-23.1203,-134.9692,People ThankYou
20,Vila Velha,BR,293.37,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
21,Caravelas,BR,293.32,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
23,Pierre,US,298.74,clear sky,44.3683,-100.351,Ramkota Hotel
24,Samana,DO,298.26,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
25,Hermanus,ZA,281.37,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
26,San Quintin,MX,292.34,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
27,Lethem,GY,296.6,overcast clouds,3.3803,-59.7968,Savannah Inn
29,Vostok,RU,292.44,overcast clouds,46.4856,135.8833,
30,Lebu,CL,284.02,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
32,Kodiak,US,283.88,light rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
35,Severo-Kurilsk,RU,286.71,overcast clouds,50.6789,156.125,Kak Doma
36,Mataura,NZ,281.19,clear sky,-46.1927,168.8643,Ellie's Villa
37,Katangli,RU,290.6,broken clouds,51.7102,143.2326,
38,Sistranda,NO,285.62,overcast clouds,63.7256,8.834,Hotell Frøya
39,Port Alfred,ZA,286.95,light rain,-33.5906,26.891,The Halyards Hotel
40,Tiksi,RU,281.7,scattered clouds,71.6872,128.8694,Arktika
42,Cidreira,BR,289.4,overcast clouds,-30.1811,-50.2056,Hotel Castelo
43,Alofi,NU,296.37,overcast clouds,-19.0595,-169.9187,Taloa Heights
44,Portland,US,294.14,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
45,Pisco,PE,287.59,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
46,Yellowknife,CA,290.42,scattered clouds,62.456,-114.3525,The Explorer Hotel
47,Codrington,AU,290.5,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
48,Khatanga,RU,299.82,scattered clouds,71.9667,102.5,"""Khatanga"""
49,Escanaba,US,292.21,broken clouds,45.7453,-87.0646,Sunset Lodge
50,East London,ZA,286.58,broken clouds,-33.0153,27.9116,Tu Casa
51,Asau,RO,292.66,few clouds,46.4333,26.4,Casa Mika Ciobanus
52,Jamestown,US,289.94,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
53,Busselton,AU,287.32,broken clouds,-33.65,115.3333,Observatory Guest House
54,Loja,EC,285.13,broken clouds,-3.9931,-79.2042,Hotel Libertador
56,Bluff,NZ,281.37,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
57,Camocim,BR,298.4,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
58,Norman Wells,CA,289.84,overcast clouds,65.282,-126.8329,Heritage Hotel
59,Sao Filipe,CV,297.76,light rain,14.8961,-24.4956,Hotel Xaguate
60,Gat,IL,298.84,clear sky,31.61,34.7642,OlusHome
61,Thompson,CA,285.6,overcast clouds,55.7435,-97.8558,Burntwood Hotel
62,Sao Felix Do Xingu,BR,293.5,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
63,Seddon,AU,290.07,few clouds,-37.8068,144.8916,Footscray Motor Inn
64,Yerbogachen,RU,298.65,broken clouds,61.2767,108.0108,
65,Kunigal,IN,298.05,overcast clouds,13.0222,77.0267,New Durga lodge
66,Ponta Delgada,PT,296.76,broken clouds,37.7333,-25.6667,Vila Nova Hotel
67,Rawlins,US,289.09,clear sky,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
68,Saint-Philippe,RE,293.57,light rain,-21.3585,55.7679,Le four à pain
70,Caxito,AO,291.56,scattered clouds,-8.5785,13.6643,
71,Talnakh,RU,296.6,overcast clouds,69.4865,88.3972,Talnakh Hotel
72,Lagoa,PT,295.42,clear sky,39.05,-27.9833,Casa Das Faias
73,Hovd,MN,295.43,scattered clouds,48.0056,91.6419,Hotel Khovd
74,Castro,BR,286.61,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
75,New Norfolk,AU,288.66,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
76,Loreto,MX,290.26,broken clouds,22.2667,-101.9667,José de Jesús Velásquez mora
77,Svetlyy,RU,290.31,broken clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
79,Mar Del Plata,AR,283.76,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
81,Maragogi,BR,296.63,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
83,Juanjui,PE,294.67,clear sky,-7.1779,-76.7314,Cuchitril
84,Esperance,AU,286.88,light rain,-33.8667,121.9,Hospitality Esperance
85,Christchurch,NZ,281.2,overcast clouds,-43.5333,172.6333,The George
86,Ust-Kuyga,RU,297.2,few clouds,70.0167,135.6,
88,Atuona,PF,298.38,few clouds,-9.8,-139.0333,Villa Enata
89,Carnarvon,AU,292.4,few clouds,-24.8667,113.6333,Hospitality Carnarvon
90,Sao Joao Da Barra,BR,294.82,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
91,Azanka,RU,293.67,overcast clouds,58.0401,64.7893,
92,Olafsvik,IS,283.97,broken clouds,64.8945,-23.7142,Hotel Olafsvik
93,Cape Town,ZA,285.32,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
