City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,267.04,91,50,1.91,scattered clouds
1,Mackenzie,CA,55.2999,-123.1698,289.82,64,100,1.17,overcast clouds
2,Vaini,TO,-21.2,-175.2,295.36,63,91,9.45,overcast clouds
3,Ancud,CL,-41.8697,-73.8203,278.83,92,100,1.22,light rain
4,Kijang,KR,35.2442,129.2139,299.6,79,100,7.09,overcast clouds
5,Sochi,RU,43.6,39.7303,292.2,66,9,1.06,clear sky
6,Katsuura,JP,35.1333,140.3,300.86,75,99,6.38,overcast clouds
7,Camar,RO,47.3,22.6167,293.88,60,64,2.36,broken clouds
8,Sisimiut,GL,66.9395,-53.6735,278.69,92,49,1.85,scattered clouds
9,Faanui,PF,-16.4833,-151.75,299.55,73,7,5.21,light rain
10,Iqaluit,CA,63.7506,-68.5145,277.56,97,98,1.11,overcast clouds
11,Kapaa,US,22.0752,-159.319,301.14,77,27,2.24,scattered clouds
12,Mahebourg,MU,-20.4081,57.7,294.66,72,53,6.94,broken clouds
13,Camacha,PT,33.0833,-16.3333,292.83,88,20,2.06,few clouds
14,San Ignacio,BZ,17.1561,-89.0714,295.84,99,99,0.89,overcast clouds
15,Albany,US,42.6001,-73.9662,294.77,65,62,1.16,broken clouds
16,Brigantine,US,39.4101,-74.3646,297.94,87,1,4.24,clear sky
17,Rocha,UY,-34.4833,-54.3333,288.74,94,60,2.14,broken clouds
18,Kendari,ID,-3.945,122.4989,299.41,70,57,3.46,broken clouds
19,Rikitea,PF,-23.1203,-134.9692,296.08,64,2,2.85,clear sky
20,Vila Velha,BR,-20.3297,-40.2925,293.37,84,9,2.27,clear sky
21,Caravelas,BR,-17.7125,-39.2481,293.32,79,2,1.85,clear sky
22,Butaritari,KI,3.0707,172.7902,301.07,76,67,7.42,light rain
23,Pierre,US,44.3683,-100.351,298.74,71,0,2.06,clear sky
24,Samana,DO,19.2056,-69.3369,298.26,87,33,4.5,scattered clouds
25,Hermanus,ZA,-34.4187,19.2345,281.37,71,95,3.76,overcast clouds
26,San Quintin,MX,30.4833,-115.95,292.34,85,11,2.29,few clouds
27,Lethem,GY,3.3803,-59.7968,296.6,93,100,1.54,overcast clouds
28,Macomb,US,40.4592,-90.6718,302.43,37,100,6.65,overcast clouds
29,Vostok,RU,46.4856,135.8833,292.44,89,91,1.44,overcast clouds
30,Lebu,CL,-37.6167,-73.65,284.02,92,100,0.96,overcast clouds
31,Punta Arenas,CL,-53.15,-70.9167,273.21,71,71,3.87,broken clouds
32,Kodiak,US,57.79,-152.4072,283.88,93,100,8.23,light rain
33,Qaanaaq,GL,77.484,-69.3632,276.13,99,100,0.29,overcast clouds
34,Rincon,US,32.296,-81.2354,301.4,93,0,2.57,clear sky
35,Severo-Kurilsk,RU,50.6789,156.125,286.71,91,98,3.05,overcast clouds
36,Mataura,NZ,-46.1927,168.8643,281.19,90,3,0.42,clear sky
37,Katangli,RU,51.7102,143.2326,290.6,80,74,5.26,broken clouds
38,Sistranda,NO,63.7256,8.834,285.62,84,100,3.48,overcast clouds
39,Port Alfred,ZA,-33.5906,26.891,286.95,73,77,9.05,light rain
40,Tiksi,RU,71.6872,128.8694,281.7,74,49,3.37,scattered clouds
41,Kalmunai,LK,7.4167,81.8167,302.74,63,100,0.33,moderate rain
42,Cidreira,BR,-30.1811,-50.2056,289.4,98,100,2.73,overcast clouds
43,Alofi,NU,-19.0595,-169.9187,296.37,63,94,9.14,overcast clouds
44,Portland,US,45.5234,-122.6762,294.14,71,0,3.09,clear sky
45,Pisco,PE,-13.7,-76.2167,287.59,91,33,0.92,scattered clouds
46,Yellowknife,CA,62.456,-114.3525,290.42,50,42,3.69,scattered clouds
47,Codrington,AU,-38.2667,141.9667,290.5,68,29,4.69,scattered clouds
48,Khatanga,RU,71.9667,102.5,299.82,39,26,5.27,scattered clouds
49,Escanaba,US,45.7453,-87.0646,292.21,96,77,2.03,broken clouds
50,East London,ZA,-33.0153,27.9116,286.58,69,55,9.09,broken clouds
51,Asau,RO,46.4333,26.4,292.66,45,21,1.58,few clouds
52,Jamestown,US,42.097,-79.2353,289.94,96,19,2.63,few clouds
53,Busselton,AU,-33.65,115.3333,287.32,55,81,4.33,broken clouds
54,Loja,EC,-3.9931,-79.2042,285.13,96,70,0.87,broken clouds
55,Barrow,US,71.2906,-156.7887,274.53,91,100,4.62,overcast clouds
56,Bluff,NZ,-46.6,168.3333,281.37,79,8,1.86,clear sky
57,Camocim,BR,-2.9022,-40.8411,298.4,83,71,6.57,broken clouds
58,Norman Wells,CA,65.282,-126.8329,289.84,56,98,2.81,overcast clouds
